,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record
0,2022-04-15T13:32:32Z,"['central_air', 'community_outdoor_space', 'dining_room', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'basement', 'front_porch', 'big_lot']",2248-The-Cir_Raleigh_NC_27608_M57388-78054,for_sale,2022-04-15T13:43:29Z,"[{'start_date': '2022-04-15T11:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-15T14:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-04-16T11:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-16T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Re/Max Advantage', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a302662419859101390e22d1f5ed12f1l-m3364090913s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a302662419859101390e22d1f5ed12f1l-m1472616110s-w1024_h768.jpg'}]",,829000,False,5738878054,,,2942132105,,https://ap.rdcpix.com/a302662419859101390e22d1f5ed12f1l-m3364090913s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,858EB34E23E5572DABD6B54A327105A9,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1950.0,,2009-03-04,357000.0,4.0,,,,2546.0,4,,,,,4.0,multi_family,27608,North Carolina,-78.646101,35.809208,Raleigh,NC,2248 The Cir,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2248%20The%20Cir%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=oADrPT6FT7tWTF38FZdtppmxaec=,37183,Wake,"[{'listing_id': '2942132105', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",
1,2022-04-15T16:03:07Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'energy_efficient', 'family_room', 'fireplace', 'hardwood_floors', 'horse_facilities', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'no_hoa', 'solar_system', 'big_lot', 'solar_panels']",13041-Norwood-Rd_Raleigh_NC_27613_M69146-96220,for_sale,2022-04-14T18:22:58Z,"[{'start_date': '2022-04-16T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-16T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Better Homes and Gardens Real Estate Paracle', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a0bc0e11832c920c2065dcdaad27e8c0l-m4065891270s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a0bc0e11832c920c2065dcdaad27e8c0l-m3195738565s-w1024_h768.jpg'}]",,849000,False,6914696220,,,2942100717,,https://ap.rdcpix.com/a0bc0e11832c920c2065dcdaad27e8c0l-m4065891270s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,0D89A668E946DD5433FE256C11B661DB,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1977.0,,1996-03-28,89000.0,2.0,,,71003.0,2472.0,2,,,2.0,2.0,3.0,single_family,27613,North Carolina,-78.688091,35.941827,Raleigh,NC,13041 Norwood Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=13041%20Norwood%20Rd%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=nuP2tJBsp1DSXRFodz5t8wKh2uw=,37183,Wake,"[{'listing_id': '2942100717', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",
2,2022-04-13T10:49:50Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'coffer_ceiling', 'open_floor_plan', 'floor_plan']",8616-Wapello-Ln_Raleigh_NC_27613_M59232-32394,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Tricap Property Management,Llc', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ab3f2c085ac404ce62e4d636f1c5a4dcl-m1258549705s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ab3f2c085ac404ce62e4d636f1c5a4dcl-m2231763805s-w1024_h768.jpg'}]",,855000,False,5923232394,,,2942061010,,https://ap.rdcpix.com/ab3f2c085ac404ce62e4d636f1c5a4dcl-m1258549705s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,B8B12C0A98AE8B71F13A000E7E60B2B1,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2017.0,,2017-12-13,670000.0,4.0,,1.0,10890.0,3565.0,5,,,2.0,2.0,5.0,single_family,27613,North Carolina,-78.702938,35.900459,Raleigh,NC,8616 Wapello Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8616%20Wapello%20Ln%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=b2HVQk3nr-uSzSOM7-ZupowkX0M=,37183,Wake,"[{'listing_id': '2942061010', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '633164842', 'listing_key': None, 'status': 'off_market', 'primary': None}]",
3,2022-04-13T19:09:52Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'kitchen_island', 'screen_porch']",9121-Breeland-Way_Raleigh_NC_27613_M95345-32116,for_sale,2022-04-11T19:41:57Z,,"[{'name': 'Treeline Properties & Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/f43e89dcde6094e98979b3904486016fl-m2134370553s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/f43e89dcde6094e98979b3904486016fl-m4170667006s-w1024_h768.jpg'}]",,856600,False,9534532116,,,2942002083,,https://ap.rdcpix.com/f43e89dcde6094e98979b3904486016fl-m2134370553s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,,,4.0,,,14549.0,3545.0,4,,,2.0,2.0,5.0,single_family,27613,North Carolina,-78.708056,35.908588,Raleigh,NC,9121 Breeland Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9121%20Breeland%20Way%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=jRN56G8e_1FboUN88ZU40BfsG6o=,37183,Wake,"[{'listing_id': '2942002083', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",
4,2022-04-11T13:31:28Z,"['central_air', 'community_outdoor_space', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'rental_property', 'investment_opportunity']",2304-Lyon-St_Raleigh_NC_27608_M63419-66100,for_sale,2022-04-11T12:43:42Z,,"[{'name': 'Ammons Pittman Property Manage', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/41e3aadadf4c26ef005419f735911edal-m457939077s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/41e3aadadf4c26ef005419f735911edal-m2545606526s-w1024_h768.jpg'}]",,850000,False,6341966100,,,2941984432,,https://ap.rdcpix.com/41e3aadadf4c26ef005419f735911edal-m457939077s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,20DCE02A30ADC9DFBCA87F0A79032251,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1949.0,,2007-08-03,336667.0,3.0,,,,1910.0,3,,,,,2.0,multi_family,27608,North Carolina,-78.660956,35.804096,Raleigh,NC,2304 Lyon St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2304%20Lyon%20St%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=FPNvjQE2JLVTESqgZYBto8fgI-U=,37183,Wake,"[{'listing_id': '2941984432', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '643165446', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '612284386', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '605858882', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '603760694', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '521870122', 'listing_key': None, 'status': 'off_market', 'primary': None}]",
5,2022-04-11T13:31:07Z,"['central_air', 'community_outdoor_space', 'dining_room', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'rental_property', 'investment_opportunity']",2300-Lyon-St_Raleigh_NC_27608_M62211-42422,for_sale,2022-04-11T12:38:38Z,,"[{'name': 'Ammons Pittman Property Manage', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c7bd6bbe4caa77cc7db3a94160f43301l-m3915088234s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c7bd6bbe4caa77cc7db3a94160f43301l-m437607410s-w1024_h768.jpg'}]",,850000,False,6221142422,,,2941984402,,https://ap.rdcpix.com/c7bd6bbe4caa77cc7db3a94160f43301l-m3915088234s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1949.0,,,,3.0,,,6612.0,1910.0,3,,,,,2.0,multi_family,27608,North Carolina,-78.660694,35.804087,Raleigh,NC,2300 Lyon St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2300%20Lyon%20St%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=2FI0Nkq6DcBe1CwYSlsDugomfUo=,37183,Wake,"[{'listing_id': '2941984402', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2938940405', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2938909800', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2938892804', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '651135598', 'listing_key': None, 'status': 'off_market', 'primary': None}]",
6,2022-04-10T16:49:23Z,"['carport', 'central_air', 'community_outdoor_space', 'corner_lot', 'cul_de_sac', 'den_or_office', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'updated_kitchen', 'high_ceiling', 'cathedral_ceiling', 'library']",3215-Kenly-Ct_Raleigh_NC_27607_M64970-07461,for_sale,2022-04-08T19:53:31Z,,"[{'name': 'Allen Tate Realtors-Raleigh-Falls of Neuse', 'photo': 'https://ap.rdcpix.com/569826821/06fa19acf2f47170ca75a347468039abg-c0s.jpg', 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/bd1795bb5eaf37a4bd2e5c504b75d075l-m3497965006s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/bd1795bb5eaf37a4bd2e5c504b75d075l-m2840747663s-w1024_h768.jpg'}]",,900000,False,6497007461,,,2941938135,,https://ap.rdcpix.com/bd1795bb5eaf37a4bd2e5c504b75d075l-m3497965006s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,B0B14F62ACEB621AED4FC71C5F6387E7,,,,,,,True,,True,True,False,False,advantage_pro,"['core.agent', 'core.broker', 'listing_owner_lead.broker', 'listing_owner_brand.broker']",advantage_pro,1973.0,,1987-07-06,272000.0,4.0,,,21344.0,3714.0,4,,,,2.0,5.0,single_family,27607,North Carolina,-78.679459,35.817634,Raleigh,NC,3215 Kenly Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3215%20Kenly%20Ct%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=A8yre7yD9VqIt5yb12jmvXyPRmY=,37183,Wake,"[{'listing_id': '2941938135', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",
7,2022-04-10T05:45:36Z,"['community_outdoor_space', 'cul_de_sac', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'kitchen_island', 'efficient', 'trails']",3125-Umstead-View-Dr_Raleigh_NC_27607_M67627-48785,for_sale,2022-04-08T16:26:14Z,,"[{'name': 'Keller Williams Elite Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/8a92d85d09cf76cf304d43dd383151fal-m222079369s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/8a92d85d09cf76cf304d43dd383151fal-m2029074981s-w1024_h768.jpg'}]",,900000,False,6762748785,,"[{'type': None, 'href': 'https://player.vimeo.com/progressive_redirect/playback/697677765/rendition/1080p?loc=external&signature=9cb4eb1d602b67f3a8d7520347c2d8eacd3f049ea083c7245d9b869a543d29f1'}]",2941927942,,https://ap.rdcpix.com/8a92d85d09cf76cf304d43dd383151fal-m222079369s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,787C10AE8195EACB153F727F61286588,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2015.0,,2020-04-30,587000.0,4.0,,1.0,33106.0,3635.0,5,,,3.0,2.0,5.0,single_family,27607,North Carolina,-78.74212,35.82302,Raleigh,NC,3125 Umstead View Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3125%20Umstead%20View%20Dr%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=OXWT7qwdo7RmsTu-elYq-z_hqrw=,37183,Wake,"[{'listing_id': '2941927942', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2909038221', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '603196318', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '589399626', 'listing_key': None, 'status': 'off_market', 'primary': None}]",
8,2022-04-08T07:08:28Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling', 'front_porch', 'elevator']",12713-Topiary-Ct_Raleigh_NC_27614_M67049-36899,for_sale,2022-04-08T07:09:43Z,,"[{'name': 'FATHOM REALTY', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/8ce71f6502810152791821d3c6f1dedel-m2627065018s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/8ce71f6502810152791821d3c6f1dedel-m560555528s-w1024_h768.jpg'}]",,894900,False,6704936899,,,2941915292,,https://ap.rdcpix.com/8ce71f6502810152791821d3c6f1dedel-m2627065018s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,CCF0B5F2EF5FF15F75301F58E91CF728,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2004.0,,2003-10-03,320000.0,5.0,,1.0,9583.0,4471.0,6,,,2.0,2.0,6.0,single_family,27614,North Carolina,-78.554824,35.958791,Raleigh,NC,12713 Topiary Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=12713%20Topiary%20Ct%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=dM5kCqnSqc5nNVoBaARpGzFNmhA=,37183,Wake,"[{'listing_id': '2941915292', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2937220532', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '640523058', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '637186090', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '629493402', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '628852070', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '627331142', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '625291362', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '612628238', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '588789242', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '557663458', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '524443338', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '519623938', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '517659906', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '515897486', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '514339806', 'listing_key': None, 'status': 'off_market', 'primary': None}]",
9,2022-04-07T21:06:30Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'master_suite', 'wrap_around_porch']",1329-Ballyclare-Ct_Raleigh_NC_27614_M59319-31380,for_sale,2022-04-04T19:19:46Z,,"[{'name': 'A Cole Realty Llc', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/84f6dadb4f143803a8f0518676c029dfl-m3955301273s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/84f6dadb4f143803a8f0518676c029dfl-m2484809544s-w1024_h768.jpg'}]",,900000,False,5931931380,,,2941772352,,https://ap.rdcpix.com/84f6dadb4f143803a8f0518676c029dfl-m3955301273s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,EC7D113577002CFF3BC6F472C63EE8B5,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2004.0,,2005-01-21,578500.0,5.0,,,41818.0,3891.0,5,,,3.0,2.0,4.0,single_family,27614,North Carolina,-78.682488,35.952273,Raleigh,NC,1329 Ballyclare Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1329%20Ballyclare%20Ct%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=mm5G_PcaVoNxJ8cT3IhtkMpJRaA=,37183,Wake,"[{'listing_id': '2941772352', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",
