,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,other_listings,community.advertisers,community.property_id,community.description.name
0,2022-04-14T11:10:25Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'basement', 'single_story', 'garage_1_or_more', 'modern_kitchen', 'open_kitchen', 'fenced_yard', 'high_ceiling', 'front_porch']",1925-Alexander-Rd_Raleigh_NC_27608_M68596-99912,for_sale,2022-04-14T11:13:35Z,,"[{'name': ""Carolina's Choice Real Estate"", 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/cb2c5f5a88c8cbf3c5f10909e3c4cdc6l-m1432456117s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/cb2c5f5a88c8cbf3c5f10909e3c4cdc6l-m1064463996s-w1024_h768.jpg'}]",,745000,False,6859699912,,,2942086062,,https://ap.rdcpix.com/cb2c5f5a88c8cbf3c5f10909e3c4cdc6l-m1432456117s-w1024_h768.jpg,"[{'office_name': ""Carolina's Choice Real Estate""}]",TANC,,,mls,4A494CE769B30072EEE498F11F08983B,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,1930.0,,2005-04-08,327000.0,2.0,,,9583.0,1490.0,2.0,,,,1.0,3.0,single_family,27608,North Carolina,-78.644879,35.807831,Raleigh,NC,1925 Alexander Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1925%20Alexander%20Rd%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=69uSKFiyQgP6CgavW8cTkoZ79As=,37183,Wake,"[{'listing_id': '2942086062', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
1,2022-04-14T19:47:34Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'hardwood_floors', 'basement', 'updated_kitchen', 'private_backyard', 'fenced_yard', 'master_suite', 'screen_porch']",4701-Yadkin-Dr_Raleigh_NC_27609_M64712-76993,for_sale,2022-04-14T02:02:09Z,,"[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/5216b249f3bc7fbda4040209bb56e18al-m950029430s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/5216b249f3bc7fbda4040209bb56e18al-m174834878s-w1024_h768.jpg'}]",,775000,False,6471276993,,,2942078848,,https://ap.rdcpix.com/5216b249f3bc7fbda4040209bb56e18al-m950029430s-w1024_h768.jpg,[{'office_name': 'EXP Realty LLC'}],TANC,,,mls,2FB7B7742BCECF9D360E085E167C29CD,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1962.0,,2017-02-03,400000.0,2.0,,1.0,13504.0,2359.0,3.0,,,,,4.0,single_family,27609,North Carolina,-78.651869,35.844715,Raleigh,NC,4701 Yadkin Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4701%20Yadkin%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=qhF_igtr7Bgk0i71TNvH0yaMHPU=,37183,Wake,"[{'listing_id': '2942078848', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '620702282', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
2,2022-04-07,"['clubhouse', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",Kinsley_Belmont_4501-Brintons-Cottage-Street_Raleigh_NC_27616_P417000653001,ready_to_build,2022-04-10T15:20:20.000Z,,"[{'name': 'Drees Homes', 'photo': 'https://nh.rdcpix.com/4990551b659f47a9cd03fe56fc6c05acn-f2875675847s.jpg', 'type': 'Builder'}]","[{'href': 'https://nh.rdcpix.com/8583647d907937d173a884f0ea515164e-f1330660397s-w1024_h768.jpg'}, {'href': 'https://nh.rdcpix.com/8583647d907937d173a884f0ea515164e-f2788703353s-w1024_h768.jpg'}]",,711500,False,417000653001,,,,,https://nh.rdcpix.com/8583647d907937d173a884f0ea515164e-f1330660397s-w1024_h768.jpg,,DCHB,,,new_home,,True,,True,,,,True,,,True,False,False,new_homes_plan,"['new_homes_cost_per_lead_hybrid.builder', 'co_broke']",basic_opt_in,,,,,3.0,Kinsley,,,3280.0,,,,2.0,2.0,4.0,single_family,27616,North Carolina,-78.552449,35.839352,Raleigh,NC,4501 Brintons Cottage Street,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4501%20Brintons%20Cottage%20Street%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=v3Fg7PRQb-dq6kJn6sfjVuZnSkU=,37183,Wake,,,,"[{'office': {'hours': 'By Appointment Only', 'phones': [{'number': '(919) 629-1898', 'type': 'Office'}, {'number': '8663326688', 'type': 'toll_free'}]}, 'builder': {'fulfillment_id': '4757841'}}]",717000065395,Belmont
3,2022-04-11T02:15:03Z,['big_lot'],7025-Fayetteville-Rd_Raleigh_NC_27603_M62511-98859,for_sale,2022-04-09T01:54:28Z,,"[{'name': 'Northside Realty Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/d32f2f93c602f8d6f2e6b0d8449d298bl-m486824829s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/d32f2f93c602f8d6f2e6b0d8449d298bl-m387477021s-w1024_h768.jpg'}]",,799900,False,6251198859,,,2941952824,,https://ap.rdcpix.com/d32f2f93c602f8d6f2e6b0d8449d298bl-m486824829s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,C1873BEDB88D799F8021BDC7F5929BA3,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,2019-06-14,80000.0,,,,174240.0,,0.0,,,,,,land,27603,North Carolina,-78.685554,35.677997,Raleigh,NC,7025 Fayetteville Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7025%20Fayetteville%20Rd%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=t93LBUIsbzK2wXyHmv0bIb_GH_Q=,37183,Wake,"[{'listing_id': '2941952824', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
4,2022-04-09T00:05:30Z,"['central_air', 'fireplace', 'forced_air', 'hardwood_floors', 'basement', 'single_story', 'updated_kitchen', 'new_roof', 'groundscare']",2608-Wade-Ave_Raleigh_NC_27607_M68499-12268,for_sale,2022-04-09T00:07:05Z,,"[{'name': 'eXp Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/7cfbd62b3b3bba71ec2f431fad341255l-m3806853983s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/7cfbd62b3b3bba71ec2f431fad341255l-m3408951321s-w1024_h768.jpg'}]",,715000,False,6849912268,,,2941947058,,https://ap.rdcpix.com/7cfbd62b3b3bba71ec2f431fad341255l-m3806853983s-w1024_h768.jpg,[{'office_name': 'EXP Realty LLC'}],TANC,,,mls,9B6A5DA28D03BDB47CB3AC91CCCDE6F0,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1955.0,,2021-10-07,557000.0,2.0,,,16988.0,2435.0,2.0,,,,1.0,4.0,single_family,27607,North Carolina,-78.66762,35.800841,Raleigh,NC,2608 Wade Ave,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2608%20Wade%20Ave%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=D2BxqyWhGS-UF0opDf4GK4hUZW0=,37183,Wake,"[{'listing_id': '2941947058', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2933431248', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '624794542', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '610847590', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
5,2022-04-09T14:35:07Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'granite_kitchen', 'modern_kitchen', 'large_kitchen', 'private_backyard', 'fenced_yard', 'high_ceiling']",4704-Little-Falls-Dr_Raleigh_NC_27609_M65810-85205,for_sale,2022-04-07T16:48:50Z,,"[{'name': 'Wieland Properties, Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/1dd0ad15cf856be411f8e03a830caa65l-m319645700s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/1dd0ad15cf856be411f8e03a830caa65l-m3115726508s-w1024_h768.jpg'}]",,725000,False,6581085205,,,2941882660,,https://ap.rdcpix.com/1dd0ad15cf856be411f8e03a830caa65l-m319645700s-w1024_h768.jpg,"[{'office_name': 'Wieland Properties, Inc.'}]",TANC,,,mls,21068F5B4AC042C546E50B2E892967FC,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1990.0,,2015-02-24,367000.0,2.0,,1.0,12632.0,2731.0,3.0,,,,2.0,4.0,single_family,27609,North Carolina,-78.631462,35.844959,Raleigh,NC,4704 Little Falls Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4704%20Little%20Falls%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=qLs6dGsTpTZATqk0R3L29illqXg=,37183,Wake,"[{'listing_id': '2941882660', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '596522778', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
6,2022-04-07T11:46:42Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'high_ceiling', 'shopping']",2917-Debra-Dr_Raleigh_NC_27607_M65850-67586,for_sale,2022-04-07T11:49:05Z,,"[{'name': 'CB Advantage-(Cary Office)', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/1ebde9b6780a5b2ca4431ee591435708l-m1444911534s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/1ebde9b6780a5b2ca4431ee591435708l-m4205186560s-w1024_h768.jpg'}]",,799917,False,6585067586,,,2941871355,,https://ap.rdcpix.com/1ebde9b6780a5b2ca4431ee591435708l-m1444911534s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E49D4C3077DBF39577886A07F5B8AE41,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2002.0,,2019-03-05,589000.0,3.0,,1.0,39814.0,4275.0,4.0,,,,3.0,5.0,single_family,27607,North Carolina,-78.684981,35.822313,Raleigh,NC,2917 Debra Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2917%20Debra%20Dr%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=sQWMAQCZ5hBrMDSxiR0D34Z3spc=,37183,Wake,"[{'listing_id': '2941871355', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2929489748', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2928725832', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '647304154', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '560440226', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '552187522', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
7,2022-04-11T20:35:27Z,"['central_air', 'corner_lot', 'fireplace', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'rental_property', 'big_lot', 'playground', 'shopping']",618-Brooks-Ave_Raleigh_NC_27607_M54564-19360,for_sale,2022-04-04T14:32:34Z,,"[{'name': 'DeRonja Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c8d3b11a7e3b7de75d950d947b27a599l-m1472300641s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c8d3b11a7e3b7de75d950d947b27a599l-m428701738s-w1024_h768.jpg'}]",,800000,False,5456419360,,,2941762139,,https://ap.rdcpix.com/c8d3b11a7e3b7de75d950d947b27a599l-m1472300641s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,DE4D56C99A9C248F6484A2D6CC381F7F,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1942.0,,2019-04-01,425000.0,2.0,,1.0,11326.0,2250.0,3.0,,,1.0,2.0,4.0,single_family,27607,North Carolina,-78.672392,35.796249,Raleigh,NC,618 Brooks Ave,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=618%20Brooks%20Ave%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=EFnUWE9WXXGnJTdEn5R22UJK8xM=,37183,Wake,"[{'listing_id': '2941762139', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '648611370', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
8,2022-04-03T13:36:47Z,"['city_view', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'two_or_more_stories', 'front_porch', 'shopping']",3225-Merriman-Ave_Raleigh_NC_27607_M56671-15221,for_sale,2022-04-01T10:18:17Z,,"[{'name': 'Allen Tate Realtors-Raleigh-Glenwood', 'photo': 'https://ap.rdcpix.com/569826821/06fa19acf2f47170ca75a347468039abg-c0s.jpg', 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/b42f25fe65da30fcba3ceb580f501463l-m2643129145s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/b42f25fe65da30fcba3ceb580f501463l-m3757029614s-w1024_h768.jpg'}]",,750000,False,5667115221,,,2941685705,,https://ap.rdcpix.com/b42f25fe65da30fcba3ceb580f501463l-m2643129145s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,FCFC46C9C14F19301444BD8FE5AD00D0,,,,,,,True,,True,True,False,False,advantage_pro,"['core.agent', 'core.broker', 'listing_owner_lead.broker', 'listing_owner_brand.broker']",advantage_pro,1947.0,,2019-04-12,520000.0,3.0,,,10890.0,2005.0,3.0,,,,2.0,5.0,single_family,27607,North Carolina,-78.680723,35.794289,Raleigh,NC,3225 Merriman Ave,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3225%20Merriman%20Ave%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=N3-tUTcu7XFCg1LgB8jlSPxGXn8=,37183,Wake,"[{'listing_id': '2941685705', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '649453846', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '648281722', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '583958470', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '564541918', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
9,2022-04-02T19:07:54Z,"['community_clubhouse', 'community_outdoor_space', 'cul_de_sac', 'family_room', 'fireplace', 'game_room', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'spa_or_hot_tub', 'swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'big_lot', 'lake', 'shopping']",1000-Old-Lantern-Ct_Raleigh_NC_27614_M69497-52099,for_sale,2022-03-30T15:10:38Z,,"[{'name': 'Keller Williams Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/207b29ff748180b5e10d4681f56a27e5l-m2592894902s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/207b29ff748180b5e10d4681f56a27e5l-m2100735557s-w1024_h768.jpg'}]",,725000,False,6949752099,,,2941605903,,https://ap.rdcpix.com/207b29ff748180b5e10d4681f56a27e5l-m2592894902s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,843958734898D28324307503AD58A548,,,,,,,False,,True,True,False,False,advantage_pro,"['listing_owner_lead.agent', 'core.agent', 'listing_owner_brand.agent', 'core.broker']",advantage_pro,1985.0,,2005-07-11,440000.0,5.0,,,40075.0,5180.0,5.0,,,2.0,2.0,4.0,single_family,27614,North Carolina,-78.645973,35.940462,Raleigh,NC,1000 Old Lantern Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1000%20Old%20Lantern%20Ct%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=gj4qZn1U4Sj3mbDYUKETlAwQtsE=,37183,Wake,"[{'listing_id': '2941605903', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
